Sample File	C:\Users\ARG\Desktop\Kevin\20221215_SMPS_Cal.S80
Classifier Model	3071
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3775 Low Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	Date	Start Time	Sample Temp (C)	Sample Pressure (kPa)	Mean Free Path (m)	Gas Viscosity (Pa*s)	Diameter Midpoint	 14.6	 15.1	 15.7	 16.3	 16.8	 17.5	 18.1	 18.8	 19.5	 20.2	 20.9	 21.7	 22.5	 23.3	 24.1	 25.0	 25.9	 26.9	 27.9	 28.9	 30.0	 31.1	 32.2	 33.4	 34.6	 35.9	 37.2	 38.5	 40.0	 41.4	 42.9	 44.5	 46.1	 47.8	 49.6	 51.4	 53.3	 55.2	 57.3	 59.4	 61.5	 63.8	 66.1	 68.5	 71.0	 73.7	 76.4	 79.1	 82.0	 85.1	 88.2	 91.4	 94.7	 98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	615.3	637.8	661.2	Scan Up Time(s)	Retrace Time(s)	Down Scan First	Scans Per Sample	Impactor Type(cm)	Sheath Flow(lpm)	Aerosol Flow(lpm)	CPC Inlet Flow(lpm)	CPC Sample Flow(lpm)	Low Voltage	High Voltage	Lower Size(nm)	Upper Size(nm)	Density(g/cc)	Title	Status Flag	td(s)	tf(s)	D50(nm)	Median(nm)	Mean(nm)	Geo. Mean(nm)	Mode(nm)	Geo. Std. Dev.	Total Conc.(#/cm3)	Comment
1	12/15/22	13:26:04						5698.36	4153.7	3153.98	2669.58	1285.24	995.759	491.522	228.854	329.352	267.669	255.043	82.7857	67.5334	19.1579	68.1296	145.329	52.3425	17.7823	132.563	0	62.4406	0	178.453	0	40.2511	165.868	107.535	117.078	51.0244	149.034	146.139	47.4837	0	136.422	133.988	351.038	43.1235	254.355	41.6858	123.006	80.6794	79.3967	156.307	154.686	114.242	164.636	266.429	165.994	256.419	187.501	256.793	203.162	284.207	106.06	105.547	245.09	553.238	282.988	147.392	337.952	34.659	167.104	255.969	254.678	253.338	42.7462	175.514	176.302	212.515	178.744	179.561	145.005	218.517	0	148.498	74.975	37.8579	114.708	116.465	156.88	118.879	161.028	122.058	248.111	84.0805	85.0188	101.101	73.1043	89.0153	0	46.139	0	47.5916	0	0	50.122	0	52.2089	0	0	0	0	0	0	0	0	0	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	16.4724	56.3536	30.8804	14.5902	2.6958	478.669	
2	12/15/22	13:28:29						0	0	0	109.569	0	0	0	0	0	0	85.6014	82.7857	0	0	0	0	0	0	0	0	62.4406	0	59.4842	38.1439	19.0825	109.466	53.5648	52.0837	0	0	97.4257	94.9673	105.53	124.391	44.6627	87.7595	0	84.7852	41.6858	0	161.359	39.6983	78.1536	0	76.1616	113.086	74.6342	221.677	73.1649	36.2255	36.0469	227.747	199.673	70.7068	211.095	140.052	104.534	104.516	104.016	133.162	74.8166	97.7995	110.093	69.5983	69.9079	69.8937	107.283	68.5376	36.9009	177.249	35.9122	36.2514	109.258	110.305	148.498	135.417	126.729	116.245	77.6436	78.4398	0	0	122.058	124.056	42.0402	42.5094	0	0	0	0	0	47.0012	47.5916	0	0	0	0	0	0	0	0	0	56.952	0	0	0	0	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	103.267	129.377	101.181	91.3982	2.07827	92.1582	
3	12/15/22	13:30:58						245.178	0	113.691	0	0	0	196.609	0	0	177.23	342.406	165.571	80.1489	232.785	149.652	145.329	211.873	269.744	269.984	403.392	359.251	151.914	327.557	288.323	909.936	977.411	736.63	895.391	1109.85	587.108	1192.82	790.914	1171.4	881.138	1443.94	1421.64	1159.58	1581.57	1651.04	1514.58	1854.11	1779.96	2352.77	1707.23	1845.35	2060.5	1982.96	1817.95	1858.15	2300.31	1896.36	2766.46	1461.29	2243.35	2903.89	2198.64	2022.87	2555.34	2185.19	2329.61	2321.68	1748.26	2515.91	2189.25	2339.57	2572.43	2518.03	2282.13	1810.65	2049.14	2087.03	1925.04	2029.46	1714.76	2167.08	1420.18	1451.84	1981.33	1323.38	1174	1399.59	1242.16	1143.54	1113.9	1485.8	837.186	1013.62	590.871	872.134	255.332	605.806	671.577	265.631	427.611	644.869	408.424	102.288	309.521	480.26	54.0849	190.405	85.2003	113.904	173.483	58.7313	60.1451	122.248	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	114.779	141.96	113.266	101.815	1.98376	1853.55	
4	12/15/22	13:35:05						0	0	113.691	0	0	0	0	0	91.7369	0	0	0	147.682	89.8086	0	0	70.6242	137.39	0	129.157	0	0	0	0	56.3702	0	0	0	102.049	0	48.7129	189.935	46.6006	0	0	87.7595	43.1235	42.3926	183.67	188.36	40.3397	198.492	156.307	116.014	152.323	113.086	111.951	73.8925	109.747	108.677	180.234	178.499	156.131	127.455	35.1824	143.425	136.023	0	173.359	69.331	34.659	103.957	145.876	201.469	349.54	139.787	70.2058	38.2978	140.107	105.751	62.0592	82.3602	72.8389	0	111.373	172.904	52.5346	76.4718	38.8218	78.4398	198.132	40.2571	122.058	94.5424	198.165	42.5094	86.476	131.977	121.468	309.422	158.793	113.674	153.614	202.217	252.816	254.334	0	52.2089	52.9417	108.17	54.8726	111.368	56.952	57.8277	117.463	120.29	122.248	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	145.508	211.042	144.166	145.902	2.5566	149.403	
5	12/15/22	13:45:10						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.0244	0	0	0	46.6006	0	0	43.8798	0	0	0	41.0018	40.3397	39.6983	39.0768	0	0	0	0	73.8925	36.5825	72.451	36.0469	0	0	0	0	35.0129	0	34.8387	34.6719	34.6655	0	0	34.6456	0	0	34.9468	35.1029	0	0	0	35.9122	36.2514	0	73.537	0	37.4875	37.8579	0	0	0	0	0	0	0	0	0	0	0	0	45.3084	46.139	0	47.5916	0	0	0	0	52.2089	0	0	0	0	56.952	0	0	0	0	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	118.72	179.031	133.08	79.1476	2.13374	19.2769	
6	12/15/22	13:56:45						0	0	0	109.569	0	203.769	1401.93	13902.6	56600.7	133679	280979	379956	443243	503414	586240	664421	734952	806676	888735	957645	986051	1.01445e+006	1.04684e+006	1.0746e+006	1.06177e+006	1.04818e+006	1.03345e+006	988459	930878	863541	805424	757070	711017	655698	611441	568049	527923	493677	453203	407950	379776	331391	302487	265017	232202	209423	175630	152021	126648	101569	83135.4	68347.6	55681.4	44467.8	35918.9	28495.3	21042.3	17417.8	12819.1	12057.1	9558.5	6978.1	6327.87	4722.93	4594.5	3262.22	3011.12	2784.89	2155.69	2447.91	2111.09	1991.62	1471.22	1610.45	1338.92	1398.58	1316.61	988.554	782.641	893.695	1026.78	1173	1126.74	1106.68	885.202	702.366	963.814	605.102	605.088	527.183	461.39	462.355	609.611	523.823	666.865	755.554	255.719	671.25	421.829	622.953	365.295	290.774	386.03	404.794	352.388	240.58	366.745	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	36.4344	40.7507	37.9897	33.3762	1.42686	394120	
7	12/15/22	14:09:14						0	0	0	0	0	0	294.913	3898.31	15858	51109	113068	168502	194316	225520	256798	298192	339693	372437	410346	456204	485991	513153	525056	527298	526245	512536	487982	463191	432444	403684	379043	345064	327402	307059	298434	290176	275900	259967	237193	230823	216494	201740	185866	168618	151850	132955	119511	106192	89613.8	77537.7	67331.9	52701	43948.8	36839.1	29276.4	23840.3	19054.4	14197.7	12192.8	9931.46	6512.81	6354.89	4102.12	3847.17	2510.28	2021.52	1830.95	1832.61	1489	1169.7	1305.01	857.212	855.947	1033.45	658.902	930.124	681.442	735.318	706.381	457.567	479.106	337.324	421.456	564.486	736.037	556.492	554.677	869.706	232.8	226.542	605.806	228.895	299.474	276.87	346.263	150.366	408.176	153.889	215.552	414.908	427.924	41.8693	215.174	439.016	258.899	60.1451	183.372	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	37.2789	42.7053	39.4719	33.3762	1.45702	196003	
8	12/15/22	14:23:30						0	0	0	0	0	0	589.826	4373.15	17989.2	53304	115478	153765	179507	211837	238824	287118	320326	358654	401628	442974	469341	496833	502306	511689	509598	498127	467880	441900	419583	394837	363632	336685	310506	288786	271991	246156	227264	214131	187229	170674	150202	131564	111920	97165.2	85735.4	69961.5	62072.2	49870.6	41668.6	32852.5	27489.5	21106.3	18577	16177.5	12716.3	11132.1	8835.98	8130.35	7331.87	6466.41	5781.61	5189.21	5061.02	4955.44	4325.56	5217.16	4577.42	3557.83	2862.32	3944.46	3319.76	3513.58	2513.62	2450.91	2399.26	2751.25	2037.51	2249.17	1719.69	2106.41	1864.24	1619.28	1835.21	1746.02	1598.19	1283.02	1672.09	1430.82	777.153	1203.32	1099.57	980.706	905.999	880.556	917.871	549.391	921.606	620.036	783.146	505.715	600.3	504.506	227.808	796.6	390.566	322.82	257.162	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	36.0502	41.1284	37.8802	33.3762	1.44059	174739	
9	12/15/22	14:33:09						0	0	0	0	0	0	606.94	2837.14	10575.2	38788.8	78570.8	109937	125950	144058	169672	190941	218526	247171	270167	307899	334441	349180	374394	379194	387182	383157	369450	352556	331073	307863	276905	255938	241539	219864	204343	182546	163778	149304	135066	122034	107325	92817	79849.9	70750	58923.9	48066.1	39837.1	32790.6	26078.3	20697.8	16152.3	13165.4	11378.6	7880.15	7463.01	6483.59	5410.49	4530.02	3838.49	3800.24	2839.89	2681.94	2342.7	2777.08	1589.08	1905.15	1425.25	1479.08	1592.21	1584.86	1155.72	985.681	1297.02	1394.7	1032.52	765.641	693.075	717.829	843.725	553.788	540.393	578.866	383.952	425.358	786.729	382.585	447.005	293.067	400.569	498.393	369.112	180.347	198.12	418.627	406.699	207.936	153.432	257.312	56.727	216.339	164.618	222.737	284.76	115.655	71.2247	227.786	305.621	120	15	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	36.3288	40.2685	37.6834	34.5989	1.40261	127047	
