Sample File	C:\Users\localadmin\Desktop\OQ_data\maier\20230516_iceparticles_test4\20230516_iceparticles_test4_2.A21
Sample Time	60
Density	1
Stokes Correction	off
Lower Channel Bound	0.486968
Upper Channel Bound	20.5353
Sample #	Date	Start Time	Aerodynamic Diameter	<0.523	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
1	05/16/23	15:12:12	dN/dlogDp	10.2358	0.127997	0.127997	0.255995	0.287994	0.287994	0.159997	0.351993	0.159997	0.351993	0.255995	0.191996	0.159997	0.0959981	0.191996	0.287994	0.223996	0.191996	0.0639987	0.127997	0.0639987	0.0319994	0.0319994	0.0319994	0	0.0319994	0	0	0	0	0.0319994	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	0	0	6	973.6	4.98	3.98	0	0	0	0	0	75	84.9	2.61	2.954	32.1	30.5	241	0000 0000 0000 0000	0.994332	1.19013	1.06454	0.835363	1.55687	2.68895(#/cm³)
2	05/16/23	15:19:04	dN/dlogDp	0.751985	0.447991	0.351993	0.447991	0.415992	0.351993	0.287994	0.607988	0.703986	0.703986	0.543989	0.703986	0.47999	0.447991	0.447991	0.223996	0.671987	0.383992	0.0959981	0.159997	0.223996	0.0319994	0.0319994	0.0319994	0	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	973.3	4.98	3.97	0	0	0	0	0	75	84.9	2.608	2.944	32.2	30.5	241	0000 0000 0000 0000	1.01602	1.11673	1.03583	0.897687	1.46694	0.464991(#/cm³)
3	05/16/23	15:20:39	dN/dlogDp	0.671987	0.351993	0.415992	0.415992	0.319994	0.319994	0.543989	0.575988	0.319994	0.543989	0.447991	0.47999	0.671987	0.543989	0.415992	0.47999	0.47999	0.415992	0.191996	0.0639987	0.159997	0.159997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	973.5	4.98	3.97	0	0	0	0	0	75	84.9	2.61	2.953	32.2	30.5	241	0000 0000 0000 0000	1.05931	1.11968	1.04354	1.19709	1.45731	0.427991(#/cm³)
4	05/16/23	15:28:30	dN/dlogDp	1.37197	0	0	0	0	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	974	4.99	3.98	0	0	0	0	0	75	84.9	2.613	2.952	32.1	30.5	241	0000 0000 0000 0000	0.89885	0.897687	0.897687	0.897687	1	0.343993(#/cm³)
5	05/16/23	15:41:04	dN/dlogDp	1.59597	0.0319994	0	0	0	0.0319994	0	0	0	0.0639987	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	1	973.3	4.98	3.96	0	0	0	0	0	75	84.9	2.609	2.954	32.1	30.5	241	0000 0000 0000 0000	0.948543	0.861832	0.835363	0.964662	1.29361	0.403992(#/cm³)
6	05/16/23	15:45:29	dN/dlogDp	0.639987	0.287994	0.191996	0.223996	0.0959981	0.0959981	0.319994	0.319994	0.351993	0.415992	0.255995	0.415992	0.159997	0.255995	0.127997	0.351993	0.223996	0.0639987	0.0959981	0.0319994	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	973.1	4.98	3.98	0	0	0	0	0	75	84.9	2.608	2.947	32.2	30.5	241	0000 0000 0000 0000	0.979271	1.05111	0.989474	0.964662	1.41593	0.295994(#/cm³)
7	05/16/23	15:47:34	dN/dlogDp	0.763985	0.351993	0.255995	0.319994	0.319994	0.415992	0.287994	0.415992	0.319994	0.255995	0.351993	0.287994	0.287994	0.287994	0.127997	0.223996	0.0959981	0.223996	0	0.0319994	0.0639987	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	973.2	4.99	3.98	0	0	0	0	0	75	84.9	2.607	2.951	32.1	30.5	241	0000 0000 0000 0000	0.889152	0.988151	0.924758	0.723394	1.42731	0.345993(#/cm³)
8	05/16/23	15:48:34	dN/dlogDp	0.603988	0.319994	0.319994	0.447991	0.319994	0.255995	0.447991	0.47999	0.255995	0.319994	0.319994	0.255995	0.255995	0.0959981	0.159997	0.287994	0.255995	0.0639987	0.0959981	0.0959981	0.0639987	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	973.3	4.98	3.97	0	0	0	0	0	75	84.9	2.614	2.951	32.1	30.5	241	0000 0000 0000 0000	0.864519	0.995988	0.926629	0.835363	1.44841	0.311994(#/cm³)
9	05/16/23	15:49:34	dN/dlogDp	0.719986	0.223996	0.351993	0.415992	0.223996	0.47999	0.703986	0.383992	0.287994	0.223996	0.319994	0.415992	0.223996	0.319994	0.319994	0.351993	0.191996	0.191996	0.0639987	0.191996	0.0319994	0.0639987	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	973.3	4.98	3.98	0	0	0	0	0	75	84.9	2.612	2.951	32.2	30.5	241	0000 0000 0000 0000	0.920399	1.05491	0.978719	0.777365	1.46183	0.368993(#/cm³)
10	05/16/23	15:50:34	dN/dlogDp	0.707986	0.191996	0.223996	0.319994	0.319994	0.223996	0.383992	0.575988	0.255995	0.639987	0.447991	0.159997	0.351993	0.191996	0.223996	0.319994	0.287994	0.255995	0.0319994	0.127997	0	0.0639987	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	973.7	4.99	3.97	0	0	0	0	0	75	84.9	2.614	2.95	32.2	30.5	241	0000 0000 0000 0000	0.965911	1.06038	0.994293	0.964662	1.42482	0.352993(#/cm³)
11	05/16/23	15:51:34	dN/dlogDp	0.643987	0.255995	0.255995	0.159997	0.287994	0.351993	0.287994	0.319994	0.223996	0.223996	0.319994	0.319994	0.255995	0.223996	0.255995	0.319994	0.191996	0.159997	0.0319994	0	0.0319994	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	973.3	4.99	3.98	0	0	0	0	0	75	84.9	2.606	2.943	32.3	30.5	241	0000 0000 0000 0000	0.965911	1.02925	0.966633	0.723394	1.42322	0.301994(#/cm³)
12	05/16/23	15:52:34	dN/dlogDp	0.703986	0.319994	0.415992	0.351993	0.351993	0.319994	0.287994	0.351993	0.575988	0.47999	0.351993	0.383992	0.319994	0.127997	0.287994	0.351993	0.51199	0.127997	0.159997	0.0319994	0.0319994	0.0319994	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	973.7	4.99	3.99	0	0	0	0	0	75	84.9	2.616	2.952	32.3	30.5	241	0000 0000 0000 0000	0.949701	1.04471	0.975094	0.897687	1.4455	0.369993(#/cm³)
13	05/16/23	15:53:34	dN/dlogDp	0.667987	0.319994	0.223996	0.447991	0.287994	0.159997	0.47999	0.319994	0.255995	0.51199	0.51199	0.383992	0.51199	0.319994	0.319994	0.159997	0.159997	0.0639987	0.191996	0.0959981	0.0959981	0.0959981	0	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	973.3	4.99	3.95	0	0	0	0	0	75	84.9	2.614	2.952	32.3	30.5	241	0000 0000 0000 0000	0.998476	1.07459	0.998654	0.964662	1.45637	0.353993(#/cm³)
14	05/16/23	15:54:34	dN/dlogDp	0.679986	0.351993	0.351993	0.543989	0.351993	0.383992	0.575988	0.47999	0.543989	0.415992	0.351993	0.223996	0.351993	0.159997	0.351993	0.159997	0.255995	0.159997	0.0639987	0.0319994	0.0959981	0.0959981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	973.5	4.98	3.98	0	0	0	0	0	75	84.9	2.61	2.953	32.3	30.5	241	0000 0000 0000 0000	0.879835	0.990547	0.924981	0.777365	1.43358	0.366993(#/cm³)
15	05/16/23	15:55:34	dN/dlogDp	0.659987	0.0639987	0.191996	0.415992	0.223996	0.47999	0.543989	0.255995	0.383992	0.543989	0.415992	0.191996	0.47999	0.383992	0.415992	0.415992	0.319994	0.223996	0.127997	0.127997	0.0319994	0.0959981	0.0319994	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	973.2	4.98	3.96	0	0	0	0	0	75	84.9	2.611	2.952	32.3	30.5	241	0000 0000 0000 0000	1.01788	1.11876	1.04713	0.777365	1.43343	0.364993(#/cm³)
16	05/16/23	15:56:34	dN/dlogDp	0.623988	0.351993	0.447991	0.319994	0.159997	0.159997	0.223996	0.223996	0.447991	0.383992	0.415992	0.447991	0.415992	0.191996	0.415992	0.383992	0.319994	0.319994	0.0959981	0.127997	0.0959981	0.0319994	0.0639987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	973.4	4.98	3.95	0	0	0	0	0	75	84.9	2.614	2.954	32.3	30.5	241	0000 0000 0000 0000	1.0552	1.11703	1.03663	0.582942	1.47573	0.344993(#/cm³)
17	05/16/23	15:57:34	dN/dlogDp	0.663987	0.351993	0.351993	0.51199	0.287994	0.287994	0.319994	0.415992	0.319994	0.255995	0.223996	0.351993	0.351993	0.319994	0.191996	0.0959981	0.255995	0.127997	0.191996	0.127997	0.0639987	0.0639987	0.0959981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	973.2	4.99	3.98	0	0	0	0	0	75	84.9	2.615	2.954	32.2	30.5	241	0000 0000 0000 0000	0.918244	1.05412	0.968259	0.626434	1.49744	0.339993(#/cm³)
18	05/16/23	15:58:34	dN/dlogDp	0.575988	0.0959981	0.191996	0.255995	0.415992	0.319994	0.319994	0.319994	0.383992	0.447991	0.287994	0.351993	0.383992	0.319994	0.383992	0.223996	0.159997	0.159997	0.0959981	0.255995	0.0319994	0.127997	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	973.1	4.98	3.97	0	0	0	0	0	75	84.8	2.613	2.953	32.1	30.5	241	0000 0000 0000 0000	1.00894	1.11835	1.04136	0.964662	1.44992	0.317994(#/cm³)
19	05/16/23	15:59:34	dN/dlogDp	0.611988	0.191996	0.287994	0.415992	0.415992	0.447991	0.255995	0.47999	0.319994	0.319994	0.415992	0.383992	0.159997	0.287994	0.287994	0.447991	0.287994	0.287994	0.0959981	0.127997	0.0959981	0.0959981	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	973.2	4.98	3.94	0	0	0	0	0	75	84.8	2.615	2.951	31.9	30.5	241	0000 0000 0000 0000	0.986753	1.09119	1.01169	0.835363	1.46995	0.344993(#/cm³)
20	05/16/23	16:00:34	dN/dlogDp	0.679986	0.319994	0.191996	0.319994	0.47999	0.127997	0.415992	0.351993	0.351993	0.255995	0.383992	0.223996	0.127997	0.351993	0.255995	0.287994	0.127997	0.191996	0.159997	0.159997	0.0959981	0.0319994	0.0959981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	973.1	4.98	3.97	0	0	0	0	0	75	84.8	2.615	2.952	31.8	30.5	241	0000 0000 0000 0000	0.957227	1.08745	1.0013	0.67317	1.49216	0.335993(#/cm³)
21	05/16/23	16:01:34	dN/dlogDp	0.631987	0.383992	0.255995	0.191996	0.319994	0.255995	0.159997	0.319994	0.351993	0.51199	0.255995	0.415992	0.191996	0.223996	0.255995	0.383992	0.287994	0.319994	0.191996	0.127997	0.0319994	0.0639987	0	0.0639987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	973.2	4.99	3.98	0	0	0	0	0	75	84.8	2.617	2.951	31.6	30.5	241	0000 0000 0000 0000	1.00998	1.12265	1.03749	0.964662	1.48743	0.331993(#/cm³)
22	05/16/23	16:02:34	dN/dlogDp	0.639987	0.383992	0.351993	0.415992	0.319994	0.543989	0.319994	0.159997	0.415992	0.319994	0.47999	0.351993	0.255995	0.255995	0.415992	0.415992	0.447991	0.255995	0.159997	0.0639987	0	0	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	973.2	4.99	3.99	0	0	0	0	0	75	84.8	2.612	2.951	31.5	30.5	241	0000 0000 0000 0000	0.9937	1.06333	0.988553	0.723394	1.46423	0.359993(#/cm³)
23	05/16/23	16:03:34	dN/dlogDp	0.735985	0.255995	0.223996	0.255995	0.447991	0.319994	0.287994	0.607988	0.351993	0.639987	0.543989	0.383992	0.447991	0.447991	0.47999	0.415992	0.255995	0.607988	0.191996	0.127997	0	0.0319994	0.0959981	0.0639987	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	972.9	4.99	3.97	0	0	0	0	0	75	84.9	2.61	2.951	31.5	30.5	241	0000 0000 0000 0000	1.05115	1.14921	1.07083	0.964662	1.45343	0.418992(#/cm³)
24	05/16/23	16:04:34	dN/dlogDp	0.691986	0.383992	0.351993	0.223996	0.351993	0.159997	0.255995	0.319994	0.415992	0.351993	0.447991	0.383992	0.351993	0.255995	0.255995	0.223996	0.383992	0.415992	0.0959981	0.159997	0.0959981	0.159997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	972.7	4.98	3.97	0	0	0	0	0	75	84.9	2.608	2.947	31.4	30	241	0000 0000 0000 0000	1.03531	1.12537	1.0394	1.03663	1.49092	0.361993(#/cm³)
25	05/16/23	16:05:34	dN/dlogDp	0.635987	0.319994	0.383992	0.319994	0.223996	0.351993	0.319994	0.671987	0.447991	0.447991	0.447991	0.47999	0.383992	0.319994	0.383992	0.415992	0.415992	0.159997	0.191996	0.127997	0.0319994	0.0639987	0.0319994	0.0319994	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	972.9	4.98	3.98	0	0	0	0	0	75	84.9	2.61	2.951	31.3	30	241	0000 0000 0000 0000	1.00331	1.09925	1.02142	0.835363	1.45919	0.377992(#/cm³)
26	05/16/23	16:06:34	dN/dlogDp	0.539989	0.287994	0.255995	0.319994	0.287994	0.351993	0.383992	0.447991	0.287994	0.383992	0.287994	0.607988	0.51199	0.191996	0.415992	0.319994	0.351993	0.319994	0.0959981	0.0319994	0.191996	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	972.7	4.99	3.98	0	0	0	0	0	75	84.9	2.604	2.947	31.1	30	241	0000 0000 0000 0000	1.04627	1.09539	1.02434	1.11397	1.44283	0.333993(#/cm³)
27	05/16/23	16:07:34	dN/dlogDp	0.679986	0.223996	0.255995	0.47999	0.351993	0.51199	0.51199	0.415992	0.223996	0.351993	0.255995	0.319994	0.351993	0.351993	0.159997	0.191996	0.191996	0.47999	0.127997	0.127997	0.127997	0.0959981	0.0959981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	973	4.98	3.97	0	0	0	0	0	75	84.8	2.608	2.948	31.2	30	241	0000 0000 0000 0000	0.956437	1.09776	1.00894	0.723394	1.49721	0.363993(#/cm³)
28	05/16/23	16:08:34	dN/dlogDp	0.703986	0.351993	0.351993	0.351993	0.415992	0.287994	0.47999	0.351993	0.415992	0.351993	0.223996	0.255995	0.191996	0.223996	0.319994	0.319994	0.575988	0.191996	0.159997	0.159997	0.127997	0.0959981	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	972.8	4.99	3.97	0	0	0	0	0	75	84.8	2.61	2.945	31	30	241	0000 0000 0000 0000	0.953279	1.10288	1.01244	1.59634	1.50721	0.370993(#/cm³)
29	05/16/23	16:09:34	dN/dlogDp	0.591988	0.255995	0.159997	0.287994	0.415992	0.319994	0.383992	0.51199	0.383992	0.447991	0.351993	0.191996	0.51199	0.383992	0.191996	0.191996	0.255995	0.255995	0.127997	0.159997	0.0639987	0.0959981	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	972.8	4.98	3.97	0	0	0	0	0	75	84.9	2.607	2.947	31	30	241	0000 0000 0000 0000	0.973354	1.08805	1.01258	0.835363	1.45231	0.334993(#/cm³)
30	05/16/23	16:10:34	dN/dlogDp	0.451991	0.127997	0.415992	0.255995	0.51199	0.319994	0.47999	0.607988	0.351993	0.415992	0.575988	0.383992	0.415992	0.607988	0.255995	0.383992	0.351993	0.351993	0.223996	0.223996	0.127997	0.0319994	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	972.8	4.98	3.98	0	0	0	0	0	75	84.9	2.611	2.95	31	30	241	0000 0000 0000 0000	1.03175	1.11626	1.04241	0.835363	1.4459	0.345993(#/cm³)
31	05/16/23	16:11:34	dN/dlogDp	0.671987	0.287994	0.287994	0.351993	0.415992	0.47999	0.51199	0.607988	0.351993	0.351993	0.543989	0.543989	0.415992	0.127997	0.383992	0.223996	0.159997	0.383992	0.127997	0.0959981	0.0319994	0.0639987	0.0639987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	972.7	4.98	3.97	0	0	0	0	0	75	84.9	2.606	2.948	31	30	241	0000 0000 0000 0000	0.953279	1.04778	0.978777	0.835363	1.43675	0.380992(#/cm³)
32	05/16/23	16:12:34	dN/dlogDp	0.575988	0.351993	0.223996	0.383992	0.415992	0.47999	0.47999	0.447991	0.255995	0.351993	0.607988	0.287994	0.351993	0.223996	0.383992	0.415992	0.319994	0.383992	0.191996	0.0639987	0.159997	0	0.0319994	0.0319994	0.0639987	0	0	0	0	0.0319994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	1	972.7	4.98	3.97	0	0	0	0	0	75	84.9	2.611	2.947	30.8	30	241	0000 0000 0000 0000	1.01047	1.1206	1.02842	1.03663	1.49908	0.360993(#/cm³)
