Sample File	C:\Users\ARG\Desktop\Kevin\20240610_CPC_comparison.txt
Model	3775

Sample #	Start Date	Start Time	Sample Length	Averaging Interval (s)	Title	Instrument ID	Instrument Errors	Conc Mean	Conc Min	Conc Max	Conc Std Dev	[1.0]  Conc (#/cm³)	[2.0]  Conc (#/cm³)	[3.0]  Conc (#/cm³)	[4.0]  Conc (#/cm³)	[5.0]  Conc (#/cm³)	[6.0]  Conc (#/cm³)	[7.0]  Conc (#/cm³)	[8.0]  Conc (#/cm³)	[9.0]  Conc (#/cm³)	[10.0]  Conc (#/cm³)	[11.0]  Conc (#/cm³)	[12.0]  Conc (#/cm³)	[13.0]  Conc (#/cm³)	[14.0]  Conc (#/cm³)	[15.0]  Conc (#/cm³)	[16.0]  Conc (#/cm³)	[17.0]  Conc (#/cm³)	[18.0]  Conc (#/cm³)	[19.0]  Conc (#/cm³)	[20.0]  Conc (#/cm³)	[21.0]  Conc (#/cm³)	[22.0]  Conc (#/cm³)	[23.0]  Conc (#/cm³)	[24.0]  Conc (#/cm³)	[25.0]  Conc (#/cm³)	[26.0]  Conc (#/cm³)	[27.0]  Conc (#/cm³)	[28.0]  Conc (#/cm³)	[29.0]  Conc (#/cm³)	[30.0]  Conc (#/cm³)	[31.0]  Conc (#/cm³)	[32.0]  Conc (#/cm³)	[33.0]  Conc (#/cm³)	[34.0]  Conc (#/cm³)	[35.0]  Conc (#/cm³)	[36.0]  Conc (#/cm³)	[37.0]  Conc (#/cm³)	[38.0]  Conc (#/cm³)	[39.0]  Conc (#/cm³)	[40.0]  Conc (#/cm³)	[41.0]  Conc (#/cm³)	[42.0]  Conc (#/cm³)	[43.0]  Conc (#/cm³)	[44.0]  Conc (#/cm³)	[45.0]  Conc (#/cm³)	[46.0]  Conc (#/cm³)	[47.0]  Conc (#/cm³)	[48.0]  Conc (#/cm³)	[49.0]  Conc (#/cm³)	[50.0]  Conc (#/cm³)	[51.0]  Conc (#/cm³)	[52.0]  Conc (#/cm³)	[53.0]  Conc (#/cm³)	[54.0]  Conc (#/cm³)	[55.0]  Conc (#/cm³)	[56.0]  Conc (#/cm³)	[57.0]  Conc (#/cm³)	[58.0]  Conc (#/cm³)	[59.0]  Conc (#/cm³)	[60.0]  Conc (#/cm³)	
1	06/10/24	13:30:09	60	1		3775  3775122802 2.16	None	0.00985	0	0.197	0.0429352	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	06/10/24	13:31:58	60	1		3775  3775122802 2.16	None	0.02955	0	0.394	0.0868068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0.197	0.197	0	0	0	0	0.197	0	0	0.394	
3	06/10/24	13:32:59	60	1		3775  3775122802 2.16	None	0.0164167	0	0.197	0.0544479	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0.197	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	
4	06/10/24	13:34:50	60	1		3775  3775122802 2.16	None	0.00656667	0	0.197	0.0353626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	
5	06/10/24	13:36:26	60	1		3775  3775122802 2.16	None	0.0952167	0	0.394	0.132111	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0.197	0	0	0.197	0.197	0	0	0	0	0	0.197	0.394	0	0.197	0	0	0.197	0	0.197	0	0.197	0.197	0.394	0	0	0	0.197	0	0.394	0.197	0.394	0	0	0	0	0.197	0	0	0.197	0.394	0.394	0	0	0.197	0	0.197	0.197	
6	06/10/24	13:39:16	60	1		3775  3775122802 2.16	None	0.12475	0	0.394	0.143687	0	0	0	0.197	0.197	0	0	0	0.197	0	0.394	0.197	0	0.197	0	0.197	0.394	0	0.197	0.197	0	0	0.197	0.197	0	0.394	0.197	0.197	0	0	0.394	0	0.197	0	0.197	0	0.394	0	0	0.393	0.394	0	0	0	0.197	0	0.197	0.394	0.197	0	0	0.197	0	0.394	0	0	0.197	0	0	0.197	
7	06/10/24	13:40:30	60	1		3775  3775122802 2.16	None	0.131283	0	0.59	0.163408	0	0	0	0	0.394	0	0	0.197	0.394	0	0.394	0.197	0	0	0	0	0.197	0.197	0.197	0	0.197	0	0	0	0.197	0	0	0.197	0.394	0	0	0	0.394	0.393	0	0.197	0.197	0	0.394	0.197	0.394	0.394	0.197	0	0	0	0	0.197	0.197	0	0	0.197	0	0.394	0	0.59	0.393	0	0	0	
8	06/10/24	13:41:33	60	1		3775  3775122802 2.16	None	0.154283	0	0.591	0.161169	0.197	0	0	0	0.394	0.394	0	0.197	0.394	0	0	0	0.197	0	0	0.197	0	0.394	0	0	0.197	0	0.197	0	0	0	0	0	0	0.393	0.394	0.197	0.197	0.197	0.394	0	0.197	0	0	0.394	0.197	0	0	0.394	0.197	0	0	0.197	0.197	0.197	0.197	0	0.197	0.197	0.394	0.591	0.394	0.197	0.197	0.393	
9	06/10/24	13:42:49	60	1		3775  3775122802 2.16	None	0.27235	0	2.558	0.47403	0.394	0.591	0.394	0.197	0.394	0	0.197	0.197	0	0	0.394	0	0.197	0	0.197	0.197	0.197	0.394	0	0	0	0	0.197	0	0.197	0	0.394	0	0.393	0	0.197	0	0.197	0.197	0	0	0.197	0	1.968	1.18	2.558	1.771	0.394	0.394	0.394	0.394	0	0.197	0.197	0.394	0.394	0	0	0	0.197	0	0	0	0	0	
10	06/10/24	13:44:00	60	1		3775  3775122802 2.16	None	0.137867	0	0.591	0.18437	0	0	0	0	0.394	0.197	0.197	0	0	0.197	0	0.394	0.197	0	0	0.197	0	0	0	0	0	0	0.197	0.197	0	0.394	0.197	0.197	0.197	0	0	0	0.394	0.59	0	0	0	0	0	0.197	0.394	0.197	0	0	0	0.591	0	0.59	0.197	0	0	0.197	0	0.197	0	0.197	0.591	0	0.197	0.591	
